Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,129500.000000,131000.000000,129000.000000,129000.000000,129000.000000,334053
2019-08-14,130000.000000,131500.000000,127000.000000,127500.000000,127500.000000,614128
2019-08-16,126500.000000,128000.000000,125000.000000,128000.000000,128000.000000,352114
2019-08-19,127500.000000,129500.000000,127500.000000,128000.000000,128000.000000,242024
2019-08-20,127500.000000,128500.000000,125000.000000,126500.000000,126500.000000,481643
2019-08-21,126500.000000,127500.000000,124000.000000,125500.000000,125500.000000,530685
2019-08-22,126000.000000,126500.000000,124000.000000,124000.000000,124000.000000,480559
2019-08-23,123000.000000,126000.000000,123000.000000,126000.000000,126000.000000,256322
2019-08-26,124000.000000,126000.000000,123500.000000,124500.000000,124500.000000,391828
2019-08-27,125000.000000,126500.000000,124000.000000,125000.000000,125000.000000,1043657
2019-08-28,128500.000000,130500.000000,127000.000000,127500.000000,127500.000000,766622
2019-08-29,127500.000000,128000.000000,126000.000000,126500.000000,126500.000000,393472
2019-08-30,127500.000000,129000.000000,127000.000000,128500.000000,128500.000000,433515
2019-09-02,128000.000000,132000.000000,127500.000000,131000.000000,131000.000000,385326
2019-09-03,131500.000000,132000.000000,127500.000000,128500.000000,128500.000000,505454
2019-09-04,128000.000000,129000.000000,127000.000000,128500.000000,128500.000000,496326
2019-09-05,128000.000000,129000.000000,127000.000000,128000.000000,128000.000000,478990
2019-09-06,128000.000000,128500.000000,126500.000000,127500.000000,127500.000000,380856
2019-09-09,127500.000000,128500.000000,126000.000000,127000.000000,127000.000000,378542
2019-09-10,127000.000000,128500.000000,126500.000000,128000.000000,128000.000000,458487
2019-09-11,128500.000000,129000.000000,127500.000000,129000.000000,129000.000000,756459
2019-09-16,128500.000000,129500.000000,126000.000000,128000.000000,128000.000000,777956
2019-09-17,127500.000000,128000.000000,125500.000000,126000.000000,126000.000000,610086
2019-09-18,126000.000000,128500.000000,125500.000000,127500.000000,127500.000000,537604
2019-09-19,127500.000000,129000.000000,126500.000000,129000.000000,129000.000000,618746
2019-09-20,128500.000000,130500.000000,128000.000000,129500.000000,129500.000000,718752
2019-09-23,129500.000000,133500.000000,129000.000000,133000.000000,133000.000000,1007214
2019-09-24,134000.000000,135000.000000,132000.000000,134000.000000,134000.000000,615506
2019-09-25,133000.000000,135000.000000,131500.000000,134500.000000,134500.000000,448004
2019-09-26,136000.000000,136500.000000,132000.000000,133000.000000,133000.000000,453068
2019-09-27,134000.000000,134000.000000,131000.000000,133500.000000,133500.000000,348902
2019-09-30,133500.000000,135500.000000,133000.000000,134000.000000,134000.000000,429631
2019-10-01,134000.000000,134000.000000,131500.000000,132500.000000,132500.000000,388512
2019-10-02,131000.000000,131500.000000,128000.000000,128500.000000,128500.000000,448012
2019-10-04,129500.000000,130000.000000,126500.000000,126500.000000,126500.000000,488988
2019-10-07,128000.000000,129000.000000,127000.000000,128000.000000,128000.000000,258951
2019-10-08,128000.000000,130500.000000,127500.000000,129500.000000,129500.000000,391115
2019-10-10,127000.000000,128000.000000,125500.000000,126500.000000,126500.000000,771396
2019-10-11,127000.000000,127500.000000,126000.000000,126000.000000,126000.000000,369552
2019-10-14,125000.000000,126000.000000,122000.000000,122000.000000,122000.000000,1260866
2019-10-15,122000.000000,123000.000000,120500.000000,122000.000000,122000.000000,661262
2019-10-16,123000.000000,124000.000000,122000.000000,123000.000000,123000.000000,433874
2019-10-17,123000.000000,124500.000000,122000.000000,123000.000000,123000.000000,519468
2019-10-18,123500.000000,124500.000000,122500.000000,123000.000000,123000.000000,418395
2019-10-21,124000.000000,124000.000000,122000.000000,122000.000000,122000.000000,372561
2019-10-22,121500.000000,122500.000000,120000.000000,122000.000000,122000.000000,523445
2019-10-23,121500.000000,122500.000000,120500.000000,121000.000000,121000.000000,511570
2019-10-24,121000.000000,122500.000000,120000.000000,122000.000000,122000.000000,655232
2019-10-25,122000.000000,124000.000000,121500.000000,123500.000000,123500.000000,983777
2019-10-28,124500.000000,125000.000000,121500.000000,121500.000000,121500.000000,564300
2019-10-29,122000.000000,123000.000000,121500.000000,122500.000000,122500.000000,797389
2019-10-30,122500.000000,123000.000000,121500.000000,122500.000000,122500.000000,400285
2019-10-31,122500.000000,123500.000000,121500.000000,122000.000000,122000.000000,441488
2019-11-01,121500.000000,124000.000000,121000.000000,124000.000000,124000.000000,470554
2019-11-04,123500.000000,125000.000000,123000.000000,124000.000000,124000.000000,475831
2019-11-05,124000.000000,125500.000000,124000.000000,125000.000000,125000.000000,471601
2019-11-06,125500.000000,126000.000000,123500.000000,123500.000000,123500.000000,682414
2019-11-07,123500.000000,124500.000000,123000.000000,123500.000000,123500.000000,853783
2019-11-08,124000.000000,124500.000000,123500.000000,124000.000000,124000.000000,335809
2019-11-11,124000.000000,124500.000000,123500.000000,123500.000000,123500.000000,370258
2019-11-12,123500.000000,125500.000000,123500.000000,125500.000000,125500.000000,598855
2019-11-13,125000.000000,126000.000000,124500.000000,124500.000000,124500.000000,528121
2019-11-14,null,null,null,null,null,null
2019-11-15,124500.000000,125500.000000,124000.000000,125500.000000,125500.000000,469109
2019-11-18,125000.000000,126000.000000,124500.000000,126000.000000,126000.000000,596279
2019-11-19,125000.000000,126000.000000,124500.000000,125000.000000,125000.000000,537780
2019-11-20,124500.000000,124500.000000,123500.000000,124500.000000,124500.000000,593391
2019-11-21,124000.000000,124500.000000,123000.000000,124500.000000,124500.000000,724349
2019-11-22,124000.000000,125500.000000,123500.000000,123500.000000,123500.000000,707333
2019-11-25,124000.000000,125500.000000,123500.000000,125000.000000,125000.000000,640837
2019-11-26,124500.000000,125500.000000,122500.000000,122500.000000,122500.000000,1854318
2019-11-27,123000.000000,124000.000000,123000.000000,123500.000000,123500.000000,697261
2019-11-28,123500.000000,125000.000000,123000.000000,124000.000000,124000.000000,742295
2019-11-29,123500.000000,124500.000000,120000.000000,121000.000000,121000.000000,1016506
2019-12-02,121000.000000,121500.000000,118500.000000,121500.000000,121500.000000,862135
2019-12-03,120000.000000,121500.000000,119000.000000,121500.000000,121500.000000,849994
2019-12-04,120000.000000,124000.000000,120000.000000,122000.000000,122000.000000,1498918
2019-12-05,121500.000000,122500.000000,117500.000000,118000.000000,118000.000000,1560647
2019-12-06,118500.000000,119500.000000,118000.000000,118500.000000,118500.000000,1504634
2019-12-09,119500.000000,120500.000000,119000.000000,119500.000000,119500.000000,902113
2019-12-10,119500.000000,120500.000000,119000.000000,120000.000000,120000.000000,784383
2019-12-11,120500.000000,120500.000000,119000.000000,119000.000000,119000.000000,1015977
2019-12-12,119500.000000,120500.000000,119000.000000,120000.000000,120000.000000,5201616
2019-12-13,121500.000000,122500.000000,119500.000000,121000.000000,121000.000000,1058172
2019-12-16,120500.000000,121000.000000,119000.000000,119000.000000,119000.000000,1015046
2019-12-17,119500.000000,123000.000000,119000.000000,122000.000000,122000.000000,1904603
2019-12-18,122000.000000,123500.000000,120500.000000,123000.000000,123000.000000,1135407
2019-12-19,122500.000000,123500.000000,122000.000000,123500.000000,123500.000000,905299
2019-12-20,124000.000000,124000.000000,122500.000000,124000.000000,124000.000000,1001899
2019-12-23,124000.000000,125000.000000,122000.000000,122500.000000,122500.000000,1462906
2019-12-24,123000.000000,123000.000000,121500.000000,122000.000000,122000.000000,600726
2019-12-26,122500.000000,123000.000000,121500.000000,122500.000000,122500.000000,552469
2019-12-27,121000.000000,121000.000000,120000.000000,120500.000000,120500.000000,422565
2019-12-30,120500.000000,121500.000000,120000.000000,120500.000000,120500.000000,467794
2020-01-02,121000.000000,121000.000000,118000.000000,118000.000000,118000.000000,556532
2020-01-03,118500.000000,119000.000000,115000.000000,116000.000000,116000.000000,1145187
2020-01-06,116000.000000,117000.000000,115500.000000,116000.000000,116000.000000,334574
2020-01-07,116500.000000,117000.000000,115500.000000,115500.000000,115500.000000,674196
2020-01-08,115000.000000,115500.000000,111500.000000,112000.000000,112000.000000,1044825
2020-01-09,113000.000000,114500.000000,110000.000000,111500.000000,111500.000000,1375510
2020-01-10,112500.000000,114500.000000,112000.000000,113500.000000,113500.000000,896507
2020-01-13,113500.000000,115500.000000,113000.000000,115000.000000,115000.000000,692917
2020-01-14,115500.000000,117000.000000,115500.000000,116000.000000,116000.000000,739959
2020-01-15,116000.000000,116000.000000,114000.000000,115000.000000,115000.000000,564142
2020-01-16,117000.000000,120000.000000,116500.000000,118500.000000,118500.000000,1638719
2020-01-17,118500.000000,120000.000000,118000.000000,118500.000000,118500.000000,574301
2020-01-20,119500.000000,119500.000000,117500.000000,118000.000000,118000.000000,445922
2020-01-21,118000.000000,118500.000000,116500.000000,117000.000000,117000.000000,545156
2020-01-22,117500.000000,127000.000000,117500.000000,127000.000000,127000.000000,2773421
2020-01-23,130000.000000,131500.000000,128000.000000,130500.000000,130500.000000,2492785
2020-01-28,127000.000000,132500.000000,127000.000000,131000.000000,131000.000000,1841752
