SERIAL_NO,년도,행정구역코드,주차장명,소재지,환승수단,주차장형식,주차급지,주차면수,일반주차요금,환승주차요금,운영기관,자료기준일,위도,경도
9992000028,2020,3110100,강매역,경기도 고양시 덕양구 소원로 202 강매역,경의선,,,36,0,,코레일네트웍스,20200420,37.6125959,126.8454369
9992000029,2020,3120000,금촌역,경기도 파주시 새꽃로 193 금촌역,경의선,,,141,200원/10분,,코레일네트웍스,20200420,37.766106,126.774515
9992000030,2020,3110100,능곡역,경기도 고양시 덕양구 토당로 35 능곡역,경의선,,,146,200원/10분,,코레일네트웍스,20200420,37.618741,126.820845
9992000031,2020,3120000,문산역,경기도 파주시 문산읍 문산역로 94 문산역,경의선,,,102,300원/10분,,코레일네트웍스,20200420,37.8545648,126.7875312
9992000032,2020,3110300,백마역,"경기도 고양시 일산동구 경의로 318 , 백마역 2번출구",경의선,,,36,200원/10분,,코레일네트웍스,20200420,37.658346,126.7944
9992000033,2020,3110300,백마역 선상,경기도 고양시 일산동구 경의로 318 백마역 선상주차장,경의선,,,62,200원/10분,,코레일네트웍스,20200420,37.658346,126.7944
9992000034,2020,3110400,일산역,경기도 고양시 일산서구 일중로15번길 83 일산역,경의선,,,57,200원/10분,,코레일네트웍스,20200420,37.681997,126.77004
9992000035,2020,3110100,화전역,경기도 고양시 덕양구 화랑로 53 화전역,경의선,,,62,200원/10분,,코레일네트웍스,20200420,37.60328,126.867955
9992000036,2020,3113000,금곡역,경기도 남양주시 금곡로19번길 47 금곡역 주차장,경춘선,,,88,300원/10분,,코레일네트웍스,20200420,37.637421,127.20795
9992000037,2020,3113000,퇴계원역,경기도 남양주시 퇴계원면 경춘북로 545 퇴계원역,경춘선,,,101,300원/10분,,코레일네트웍스,20200420,37.6480708,127.1441203
9992000038,2020,3113000,평내호평역,경기도 남양주시 경춘로 1375 평내호평역,경춘선,,,70,400원/10분,,코레일네트웍스,20200420,37.653229,127.244452
9992000039,2020,3106000,광명역 발렛,경기도 광명시 광명역로 21 광명역,1호선,,,,-,,코레일네트웍스,20200420,37.416522,126.884789
9992000040,2020,3106000,광명역A,경기도 광명시 광명역로 21 광명역A주차장,1호선,,,984,500원/10분,,코레일네트웍스,20200420,37.416522,126.884789
9992000041,2020,3106000,광명역B,경기도 광명시 광명역로 21 광명역B주차장,1호선,,,324,500원/10분,,코레일네트웍스,20200420,37.416522,126.884789
9992000042,2020,3105000,소사역,경기도 부천시 소사구 소사로 272 소사역,"1호선, 서해선",,,32,0,,코레일네트웍스,20200420,37.482755,126.795654
9992000043,2020,3109200,고잔역,경기도 안산시 단원구 중앙대로 784 고잔역,4호선,,,75,200원/10분,,코레일네트웍스,20200420,37.316832,126.823106
9992000044,2020,3109200,신길온천역,경기도 안산시 단원구 황고개로 2 신길온천역,4호선,,,60,0,,코레일네트웍스,20200420,37.337488,126.767306
9992000045,2020,3115000,오이도역,경기도 시흥시 역전로 430 오이도역 주차장,4호선,,,72,200원/10분,,코레일네트웍스,20200420,37.362033,126.737636
9992000046,2020,3115000,정왕역A,경기도 시흥시 마유로418번길 15 정왕역A,4호선,,,127,200원/10분,,코레일네트웍스,20200420,37.351374,126.743582
9992000047,2020,3115000,정왕역B,경기도 시흥시 마유로418번길 15 정왕역B,4호선,,,177,200원/10분,,코레일네트웍스,20200420,37.351374,126.743582
9992000048,2020,3109200,중앙역,경기도 안산시 단원구 중앙대로 918 중앙역,4호선,,,81,200원/10분,,코레일네트웍스,20200420,37.316065,126.838545
9992000049,2020,3109200,초지역,경기도 안산시 단원구 중앙대로 620 초지역,4호선,,,73,200원/10분,,코레일네트웍스,20200420,37.320583,126.806151
9992000050,2020,3112000,구리역,경기도 구리시 건원대로34번길 32-29 구리역,중앙선,,,152,200원/10분,,코레일네트웍스,20200420,37.6033064,127.1432928
